刚转行做销售管理，带的团队业绩一直倒数第一	你能当销售管理说明已经击败百分之八十的人了诶很棒加油
今天终于辞职了，离开这个让我抑郁的公司	相信你会找到更好的工作！*٩(๑´∀`๑)ง*加油！
下定决心离开了一群虚伪的人	网络和现实一样，什么人都有哦，离开差劲的，才能接触更好的，加油
成为了小组成员！	今天我们都是有眼光有品位的人！
今天被算命的说婚姻不幸，桑心	咱换一个算命的～这个不靠谱
写程序老是出错	很酷诶你，我都看不懂程序
终于鼓起勇气去撩喜欢的小哥哥	真心换真心，他看到你的真诚就会接受你的，不过要注意方式方法，不要太急迫了，祝你早日脱单
嫁给博士两年啦！	好棒棒正能量，让我又有勇气了！
今天也是幼儿园最勇敢的崽儿~今天一个人去医院拔了牙	你好厉害！！我过段时间也要去拔了，你不孤独~
自己一个人成功搬家	一个人搬家真的很厉害诶，我连寝室那个小地方都不想整理，一屋不扫何以扫天下！楼楼是能干大事的人！！
月薪一万清闲工作不干跑去学厨师月薪两千块	做自己喜欢的事，收入低一些又有啥关系，开心就好
我很真诚，很爱这个世界！	这样的生活态度真好，你的生活会越来越阳光明媚！
根管治疗全程无麻醉	果然敢于直面淋漓的鲜血才是真正的勇士！你好厉害
今天饿得要死	明天你也许就会变漂亮了
把一直不愿意面对的事情都做完了，现在特丧	能把不愿意做的事做完需要很大勇气和能量哦！超棒的！
第一次戳羊毛毡	真棒！听说很多人戳的时候一直戳手，都戳不出成品呢！成功真是太棒了！
第一次献血	你好棒！身体一定很好！不过也要好好休息，吃点好吃的哦！
第一次蒸馒头	第一次做馒头做这么成功，你好厉害
被瞧不起，如今翻身	小姐姐你超有志气！不用他们一分钱还通过自己的努力实现了很大改善！往后一定会越来越好的！
今天在学校的献血车里献血	哇！这个是真的赞，目测是个暖心小天使鸭~你做了一件我一直想做却不敢去做（晕血）的事呢~
把脚都扭伤了	一次性就很厉害了，一般人一次只能扭到一只，你反而能两只一起扭到，说不定是上天在暗示你有什么特殊的才能
裸辞失业半个月	你真的太棒了，可以先休息一段时间，想想看自己要的是什么，加油鸭
